year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2018,8,25,UMASS,DUQ,H,63,15,NA,2
2018,8,26,RICE,PVAM,H,31,28,NA,2
2018,8,26,JVST,NCAT,H,17,20,NA,2
2018,8,30,WAG,BSU,H,40,23,NA,2
2018,8,31,CHAT,TNTC,H,34,10,NA,2
2018,8,31,EKY,MORE,H,49,23,NA,2
2018,8,31,DEL,URI,H,19,21,NA,2
2018,8,31,MAINE,UNH,H,35,7,NA,2
2018,8,31,CAMP,CHO,H,49,26,NA,2
2018,8,31,INST,QUI,H,49,0,NA,2
2018,8,31,MURR,SIU,H,10,49,NA,2
2018,8,31,BALL,CCSU,H,42,6,NA,2
2018,8,31,GAST,KENN,H,24,20,NA,2
2018,8,31,UND,MVSU,H,35,7,NA,2
2018,8,31,SAM,SHO,H,66,9,NA,2
2018,8,31,ULM,SELA,H,34,31,NA,2
2018,8,31,UAB,SAV,H,52,0,NA,2
2018,8,31,OKST,MOST,H,58,17,NA,2
2018,8,31,UTAH,WEB,H,41,10,NA,2
2018,8,31,TA&M,NWST,H,59,7,NA,2
2018,8,31,MTST,WIU,H,26,23,NA,2
2018,8,31,SJSU,UCD,H,38,44,NA,2
2018,8,31,EMU,MONM,H,51,17,NA,2
2018,9,1,IDST,WES,H,45,10,NA,2
2018,9,1,NEV,PRST,H,72,19,NA,2
2018,9,1,CLEM,FUR,H,48,7,NA,2
2018,9,1,UGA,PEAY,H,45,0,NA,2
2018,9,1,TCU,SOU,H,55,7,NA,2
2018,9,1,TEM,NOVA,H,17,19,NA,2
2018,9,1,NCST,JMU,H,24,13,NA,2
2018,9,1,GT,ALCN,H,41,0,NA,2
2018,9,1,LEH,SFU,H,21,19,NA,2
2018,9,1,COLG,HC,H,24,17,NA,2
2018,9,1,DAY,RMU,H,49,28,NA,2
2018,9,1,JAC,STA,H,63,14,NA,2
2018,9,1,MRST,GTWN,H,14,39,NA,2
2018,9,1,DUQ,LOC,H,45,0,NA,2
2018,9,1,AFA,STON,H,38,0,NA,2
2018,9,1,YSU,BUT,H,21,23,NA,2
2018,9,1,OHIO,HOW,H,38,32,NA,2
2018,9,1,BRY,NH,H,41,31,NA,2
2018,9,1,PITT,ALBY,H,33,7,NA,2
2018,9,1,NDSU,CP,H,49,3,NA,2
2018,9,1,UNCO,MCNS,H,14,17,NA,2
2018,9,1,ARK,EIU,H,55,20,NA,2
2018,9,1,MIZ,UTM,H,51,14,NA,2
2018,9,1,EWU,CEN,H,58,13,NA,2
2018,9,1,USD,WES,H,38,9,NA,2
2018,9,1,FAMU,FOR,H,41,7,NA,2
2018,9,1,NSU,VIR,H,34,13,NA,2
2018,9,1,ALST,TUS,H,26,20,1,2
2018,9,1,HAMP,SHA,H,38,10,NA,2
2018,9,1,UVA,RICH,H,42,13,NA,2
2018,9,1,BUFF,DSU,H,48,10,NA,2
2018,9,1,GASO,SCST,H,37,6,NA,2
2018,9,1,USF,ELON,H,34,14,NA,2
2018,9,1,CHAR,FOR,H,34,10,NA,2
2018,9,1,WCU,NBY,H,33,26,NA,2
2018,9,1,WOF,CIT,H,28,21,NA,2
2018,9,1,SHU,LAF,H,35,6,NA,2
2018,9,1,BUCK,W&M,H,7,14,NA,2
2018,9,1,WEBB,LIM,H,52,17,NA,2
2018,9,2,MSST,SFA,H,63,6,NA,2
2018,9,2,LAM,KYCH,H,70,7,NA,2
2018,9,2,HBU,SWB,H,49,7,NA,2
2018,9,2,MORG,TOWS,H,10,36,NA,2
2018,9,2,DAV,BRE,H,34,13,NA,2
2018,9,2,TNST,BCU,H,34,3,NA,2
2018,9,2,USM,JKST,H,55,7,NA,2
2018,9,2,MEM,MER,H,66,14,NA,2
2018,9,2,TLSA,UCA,H,38,27,NA,2
2018,9,2,ULL,GRAM,H,49,17,NA,2
2018,9,2,ARKST,SEMO,H,48,21,NA,2
2018,9,2,TOL,VMI,H,66,3,NA,2
2018,9,2,KU,NICH,H,23,26,1,2
2018,9,2,KSU,SDAK,H,27,24,NA,2
2018,9,2,STET,POINT,H,48,7,NA,2
2018,9,2,UAPB,MOR,H,30,34,NA,2
2018,9,2,AAMU,MIL,H,37,0,NA,2
2018,9,2,ETSU,MAR,H,28,7,NA,2
2018,9,2,FLA,CHSO,H,53,6,NA,2
2018,9,2,UTEP,NAU,H,10,30,NA,2
2018,9,2,ILST,STX,H,46,0,NA,2
2018,9,2,UNM,IW,H,62,30,NA,2
2018,9,2,SUU,NOR,H,30,34,NA,2
2018,9,2,BAY,ACU,H,55,27,NA,2
2018,9,2,TXSO,UTPB,H,26,16,NA,2
2018,9,2,SAC,SFIL,H,55,7,NA,2
2018,9,2,MONT,UNI,H,26,23,NA,2
2018,9,2,FRES,IDAHO,H,79,13,NA,2
2018,9,2,NCCU,PVAM,H,24,40,NA,2
2018,9,2,ECU,NCAT,H,23,28,NA,2
2018,8,25,DUQ,UMASS,V,15,63,NA,2
2018,8,26,PVAM,RICE,V,28,31,NA,2
2018,8,26,NCAT,JVST,V,20,17,NA,2
2018,8,30,BSU,WAG,V,23,40,NA,2
2018,8,31,TNTC,CHAT,V,10,34,NA,2
2018,8,31,MORE,EKY,V,23,49,NA,2
2018,8,31,URI,DEL,V,21,19,NA,2
2018,8,31,UNH,MAINE,V,7,35,NA,2
2018,8,31,CHO,CAMP,V,26,49,NA,2
2018,8,31,QUI,INST,V,0,49,NA,2
2018,8,31,SIU,MURR,V,49,10,NA,2
2018,8,31,CCSU,BALL,V,6,42,NA,2
2018,8,31,KENN,GAST,V,20,24,NA,2
2018,8,31,MVSU,UND,V,7,35,NA,2
2018,8,31,SHO,SAM,V,9,66,NA,2
2018,8,31,SELA,ULM,V,31,34,NA,2
2018,8,31,SAV,UAB,V,0,52,NA,2
2018,8,31,MOST,OKST,V,17,58,NA,2
2018,8,31,WEB,UTAH,V,10,41,NA,2
2018,8,31,NWST,TA&M,V,7,59,NA,2
2018,8,31,WIU,MTST,V,23,26,NA,2
2018,8,31,UCD,SJSU,V,44,38,NA,2
2018,8,31,MONM,EMU,V,17,51,NA,2
2018,9,1,WES,IDST,V,10,45,NA,2
2018,9,1,PRST,NEV,V,19,72,NA,2
2018,9,1,FUR,CLEM,V,7,48,NA,2
2018,9,1,PEAY,UGA,V,0,45,NA,2
2018,9,1,SOU,TCU,V,7,55,NA,2
2018,9,1,NOVA,TEM,V,19,17,NA,2
2018,9,1,JMU,NCST,V,13,24,NA,2
2018,9,1,ALCN,GT,V,0,41,NA,2
2018,9,1,SFU,LEH,V,19,21,NA,2
2018,9,1,HC,COLG,V,17,24,NA,2
2018,9,1,RMU,DAY,V,28,49,NA,2
2018,9,1,STA,JAC,V,14,63,NA,2
2018,9,1,GTWN,MRST,V,39,14,NA,2
2018,9,1,LOC,DUQ,V,0,45,NA,2
2018,9,1,STON,AFA,V,0,38,NA,2
2018,9,1,BUT,YSU,V,23,21,NA,2
2018,9,1,HOW,OHIO,V,32,38,NA,2
2018,9,1,NH,BRY,V,31,41,NA,2
2018,9,1,ALBY,PITT,V,7,33,NA,2
2018,9,1,CP,NDSU,V,3,49,NA,2
2018,9,1,MCNS,UNCO,V,17,14,NA,2
2018,9,1,EIU,ARK,V,20,55,NA,2
2018,9,1,UTM,MIZ,V,14,51,NA,2
2018,9,1,CEN,EWU,V,13,58,NA,2
2018,9,1,WES,USD,V,9,38,NA,2
2018,9,1,FOR,FAMU,V,7,41,NA,2
2018,9,1,VIR,NSU,V,13,34,NA,2
2018,9,1,TUS,ALST,V,20,26,1,2
2018,9,1,SHA,HAMP,V,10,38,NA,2
2018,9,1,RICH,UVA,V,13,42,NA,2
2018,9,1,DSU,BUFF,V,10,48,NA,2
2018,9,1,SCST,GASO,V,6,37,NA,2
2018,9,1,ELON,USF,V,14,34,NA,2
2018,9,1,FOR,CHAR,V,10,34,NA,2
2018,9,1,NBY,WCU,V,26,33,NA,2
2018,9,1,CIT,WOF,V,21,28,NA,2
2018,9,1,LAF,SHU,V,6,35,NA,2
2018,9,1,W&M,BUCK,V,14,7,NA,2
2018,9,1,LIM,WEBB,V,17,52,NA,2
2018,9,2,SFA,MSST,V,6,63,NA,2
2018,9,2,KYCH,LAM,V,7,70,NA,2
2018,9,2,SWB,HBU,V,7,49,NA,2
2018,9,2,TOWS,MORG,V,36,10,NA,2
2018,9,2,BRE,DAV,V,13,34,NA,2
2018,9,2,BCU,TNST,V,3,34,NA,2
2018,9,2,JKST,USM,V,7,55,NA,2
2018,9,2,MER,MEM,V,14,66,NA,2
2018,9,2,UCA,TLSA,V,27,38,NA,2
2018,9,2,GRAM,ULL,V,17,49,NA,2
2018,9,2,SEMO,ARKST,V,21,48,NA,2
2018,9,2,VMI,TOL,V,3,66,NA,2
2018,9,2,NICH,KU,V,26,23,1,2
2018,9,2,SDAK,KSU,V,24,27,NA,2
2018,9,2,POINT,STET,V,7,48,NA,2
2018,9,2,MOR,UAPB,V,34,30,NA,2
2018,9,2,MIL,AAMU,V,0,37,NA,2
2018,9,2,MAR,ETSU,V,7,28,NA,2
2018,9,2,CHSO,FLA,V,6,53,NA,2
2018,9,2,NAU,UTEP,V,30,10,NA,2
2018,9,2,STX,ILST,V,0,46,NA,2
2018,9,2,IW,UNM,V,30,62,NA,2
2018,9,2,NOR,SUU,V,34,30,NA,2
2018,9,2,ACU,BAY,V,27,55,NA,2
2018,9,2,UTPB,TXSO,V,16,26,NA,2
2018,9,2,SFIL,SAC,V,7,55,NA,2
2018,9,2,UNI,MONT,V,23,26,NA,2
2018,9,2,IDAHO,FRES,V,13,79,NA,2
2018,9,2,PVAM,NCCU,V,40,24,NA,2
2018,9,2,NCAT,ECU,V,28,23,NA,2
2018,9,6,MOST,LIN,H,52,24,NA,2
2018,9,7,TNTC,KENN,H,10,49,NA,2
2018,9,7,CCSU,LIN,H,55,0,NA,2
2018,9,9,AUB,ALST,H,63,9,NA,2
2018,9,9,LSU,SELA,H,31,0,NA,2
2018,9,9,MTSU,UTM,H,61,37,NA,2
